epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1116.28,1.05916,0.81563,1.17939,0.34498,0.32722,0.27133,0.11726,2.30446,2.64234,2.27601,0.000104537,0.000104537,0.000104537
82,1129.45,1.02311,0.7871,1.17344,0.35397,0.31763,0.26915,0.1151,2.28743,2.72834,2.25954,9.55951e-05,9.55951e-05,9.55951e-05
83,1142.73,1.05459,0.78911,1.18256,0.41403,0.2903,0.28017,0.11683,2.28158,2.71832,2.26313,8.70577e-05,8.70577e-05,8.70577e-05
84,1155.93,1.01112,0.76128,1.15356,0.41067,0.28545,0.27784,0.12189,2.27795,2.69215,2.25844,7.89327e-05,7.89327e-05,7.89327e-05
85,1169.49,0.99124,0.75162,1.15632,0.46119,0.27454,0.27228,0.11715,2.30827,2.73647,2.28969,7.12282e-05,7.12282e-05,7.12282e-05
86,1182.89,1.05523,0.77754,1.18725,0.37356,0.28154,0.25708,0.10374,2.36937,2.74167,2.36965,6.39518e-05,6.39518e-05,6.39518e-05
87,1209.37,0.98673,0.694,1.14504,0.4529,0.26286,0.25734,0.10613,2.31111,2.7186,2.30596,5.71106e-05,5.71106e-05,5.71106e-05
88,1222.59,0.97185,0.67928,1.12411,0.44841,0.25874,0.2547,0.10593,2.33113,2.75641,2.33215,5.07115e-05,5.07115e-05,5.07115e-05
89,1235.74,0.94759,0.65965,1.11435,0.45425,0.2573,0.25956,0.11181,2.29958,2.70975,2.28524,4.47606e-05,4.47606e-05,4.47606e-05
90,1248.98,0.94066,0.63819,1.11703,0.47447,0.25003,0.25648,0.10995,2.27039,2.75432,2.25998,3.9264e-05,3.9264e-05,3.9264e-05
91,1262.25,0.9335,0.6343,1.117,0.40128,0.28425,0.26923,0.11582,2.26826,2.78119,2.24985,3.4227e-05,3.4227e-05,3.4227e-05
92,1275.47,0.92137,0.62238,1.11256,0.4787,0.25529,0.26899,0.11861,2.26564,2.8016,2.24968,2.96546e-05,2.96546e-05,2.96546e-05
93,1288.88,0.92952,0.62057,1.12021,0.52637,0.24562,0.26173,0.11846,2.26878,2.8315,2.24003,2.55513e-05,2.55513e-05,2.55513e-05
94,1302.29,0.91437,0.60811,1.10817,0.50892,0.25087,0.2653,0.119,2.2847,2.83032,2.25894,2.19212e-05,2.19212e-05,2.19212e-05
95,1315.75,0.91453,0.61723,1.10828,0.48962,0.24562,0.26483,0.11755,2.28732,2.786,2.26289,1.87678e-05,1.87678e-05,1.87678e-05
96,1329.11,0.90407,0.59273,1.10971,0.51556,0.25529,0.26731,0.11958,2.28492,2.80436,2.27114,1.60943e-05,1.60943e-05,1.60943e-05
97,1342.73,0.89838,0.6029,1.09488,0.39839,0.30499,0.26923,0.11721,2.27603,2.82731,2.25087,1.39032e-05,1.39032e-05,1.39032e-05
